scenario_id,target_overall_nhs_share,replicate,achieved_overall_nhs_share_pct,avg_wait,avg_travel_distance_km
overall_share_frontier,0.3,0,52.18,97.82,59.54
overall_share_frontier,0.3,1,52.21,97.81,59.51
overall_share_frontier,0.3,2,52.21,97.8,59.51
overall_share_frontier,0.3,3,52.21,97.81,59.49
overall_share_frontier,0.3,4,52.23,97.84,59.36
overall_share_frontier,0.3,5,52.19,97.82,59.53
overall_share_frontier,0.3,6,52.22,97.8,59.53
overall_share_frontier,0.3,7,52.24,97.79,59.6
overall_share_frontier,0.3,8,52.21,97.81,59.51
overall_share_frontier,0.3,9,52.2,97.81,59.54
overall_share_frontier,0.4,0,52.19,97.82,59.49
overall_share_frontier,0.4,1,52.21,97.8,59.54
overall_share_frontier,0.4,2,52.2,97.81,59.5
overall_share_frontier,0.4,3,52.2,97.8,59.5
overall_share_frontier,0.4,4,52.22,97.84,59.31
overall_share_frontier,0.4,5,52.22,97.8,59.51
overall_share_frontier,0.4,6,52.22,97.8,59.53
overall_share_frontier,0.4,7,52.19,97.81,59.51
overall_share_frontier,0.4,8,52.21,97.81,59.51
overall_share_frontier,0.4,9,52.2,97.8,59.49
overall_share_frontier,0.5,0,52.19,97.81,59.48
overall_share_frontier,0.5,1,52.18,97.82,59.5
overall_share_frontier,0.5,2,52.19,97.81,59.51
overall_share_frontier,0.5,3,52.2,97.81,59.54
overall_share_frontier,0.5,4,52.21,97.8,59.55
overall_share_frontier,0.5,5,52.18,97.82,59.53
overall_share_frontier,0.5,6,52.22,97.8,59.53
overall_share_frontier,0.5,7,52.22,97.8,59.54
overall_share_frontier,0.5,8,52.2,97.8,59.53
overall_share_frontier,0.5,9,52.19,97.81,59.48
overall_share_frontier,0.6,0,53.96,97.23,60.01
overall_share_frontier,0.6,1,53.95,97.22,59.95
overall_share_frontier,0.6,2,53.95,97.22,59.97
overall_share_frontier,0.6,3,53.96,97.22,60.03
overall_share_frontier,0.6,4,53.97,97.23,60.05
overall_share_frontier,0.6,5,53.95,97.22,60.03
overall_share_frontier,0.6,6,53.96,97.23,60.0
overall_share_frontier,0.6,7,53.97,97.24,59.9
overall_share_frontier,0.6,8,53.96,97.23,60.0
overall_share_frontier,0.6,9,53.96,97.23,60.01
overall_share_frontier,0.7,0,53.6,97.1,59.94
overall_share_frontier,0.7,1,53.65,97.09,59.94
overall_share_frontier,0.7,2,53.6,97.11,59.84
overall_share_frontier,0.7,3,53.64,97.09,60.02
overall_share_frontier,0.7,4,53.6,97.1,59.93
overall_share_frontier,0.7,5,53.55,97.12,59.99
overall_share_frontier,0.7,6,53.61,97.1,59.94
overall_share_frontier,0.7,7,53.61,97.1,59.93
overall_share_frontier,0.7,8,53.61,97.1,59.92
overall_share_frontier,0.7,9,53.67,97.08,59.92
overall_share_frontier,0.8,0,53.66,97.09,59.99
overall_share_frontier,0.8,1,53.6,97.1,59.89
overall_share_frontier,0.8,2,53.64,97.09,59.86
overall_share_frontier,0.8,3,53.6,97.1,59.82
overall_share_frontier,0.8,4,53.64,97.09,59.97
overall_share_frontier,0.8,5,53.62,97.1,59.93
overall_share_frontier,0.8,6,53.61,97.1,59.94
overall_share_frontier,0.8,7,53.63,97.09,59.97
overall_share_frontier,0.8,8,53.6,97.1,59.82
overall_share_frontier,0.8,9,53.65,97.09,59.9
overall_share_frontier,0.9,0,53.62,97.1,59.91
overall_share_frontier,0.9,1,53.63,97.09,59.97
overall_share_frontier,0.9,2,53.64,97.09,60.0
overall_share_frontier,0.9,3,53.64,97.09,59.99
overall_share_frontier,0.9,4,53.65,97.09,59.96
overall_share_frontier,0.9,5,53.55,97.12,59.95
overall_share_frontier,0.9,6,53.63,97.09,59.96
overall_share_frontier,0.9,7,53.67,97.08,59.94
overall_share_frontier,0.9,8,53.61,97.14,59.9
overall_share_frontier,0.9,9,53.63,97.09,59.95
